state,2014_total,2014_citizen,2010_total,2010_citizen,2006_total,2006_citizen,2002_total,2002_citizen,1998_total,1998_citizen,1994_total,1994_citizen,1990_total,1990_citizen,1986_total,1986_citizen,1982_total,1982_citizen
Alabama,64.7,67.2,63.1,65.0,72.0,74.0,72.2,73.0,73.7,74.7,70.6,71.5,72.6,74.1,74.5,76.1,67.1,68.1
Alaska,64.6,66.8,63.8,66.4,70.9,73.6,52.6,72.5,72.3,74.4,72.0,73.5,71.0,75.6,70.2,72.6,68.7,72.8
Arizona,54.8,62.3,60.7,66.0,53.8,62.1,50.8,58.6,51.1,57.9,56.6,61.8,56.3,61.3,57.3,61.0,53.8,56.9
Arkansas,59.0,62.8,58.7,60.7,63.4,65.7,62.3,63.7,63.2,63.9,60.0,60.7,61.0,63.7,63.4,64.5,64.7,66.1
California,48.6,57.7,50.6,60.9,50.3,62.3,49.3,61.2,52.1,65.0,55.4,69.3,54.8,70.2,57.3,69.8,57.6,69.5
Colorado,66.2,71.1,61.0,66.2,65.7,71.4,60.9,66.8,68.5,73.1,64.5,66.5,65.4,69.0,65.0,67.1,62.8,65.0
Connecticut,59.9,65.1,62.0,66.6,62.5,67.2,65.2,70.4,66.6,69.2,69.0,73.7,64.8,71.5,67.1,72.2,69.0,72.5
Delaware,62.0,66.8,62.6,65.9,63.0,67.6,65.3,68.9,61.1,63.0,58.9,60.4,53.5,57.9,57.5,59.3,61.9,66.3
District of Columbia,65.6,73.5,60.3,66.9,65.8,73.6,67.8,76.0,65.1,70.3,67.6,76.2,62.2,70.4,61.6,67.9,54.8,60.1
Florida,56.4,62.6,56.2,63.0,56.4,64.9,58.1,66.0,59.0,66.3,56.7,63.9,58.1,65.7,59.8,65.8,58.9,64.9
Georgia,58.9,63.7,57.2,62.0,59.6,64.9,61.5,65.0,62.0,63.9,55.2,56.5,57.4,61.4,58.8,60.8,57.6,58.9
Hawaii,47.4,51.3,48.3,52.3,50.9,55.2,48.7,53.1,54.1,60.4,52.6,59.0,57.2,64.1,57.9,64.1,60.6,66.7
Idaho,56.8,60.7,59.8,63.5,62.0,65.6,59.7,61.9,60.0,63.4,63.1,64.2,60.6,63.8,69.6,72.2,65.8,67.6
Illinois,58.6,63.9,60.5,66.3,61.5,68.9,61.7,67.4,63.9,69.0,63.5,68.1,65.6,72.1,67.2,71.8,70.0,74.2
Indiana,62.0,64.9,59.4,61.2,63.6,65.4,60.9,61.6,61.7,62.6,55.6,56.0,60.9,64.4,64.6,66.1,69.1,70.9
Iowa,67.8,69.6,67.9,70.8,73.9,76.9,69.5,72.2,74.3,75.7,71.7,73.0,67.4,69.2,67.6,69.8,68.3,71.0
Kansas,63.7,67.9,65.5,68.4,62.6,65.7,63.7,67.0,63.8,66.2,65.6,67.0,64.2,66.5,66.1,67.7,65.2,67.3
Kentucky,69.2,71.6,65.0,66.9,71.3,73.4,67.0,67.6,65.0,66.1,62.6,63.1,60.4,62.7,65.6,67.1,66.1,68.3
Louisiana,69.5,71.7,73.2,74.9,71.0,72.5,73.6,75.0,72.6,73.6,70.6,71.6,73.2,76.4,71.2,74.3,67.7,69.3
Maine,75.4,76.5,75.4,76.6,78.5,79.3,79.8,80.8,75.0,75.5,81.8,83.7,81.3,83.9,85.2,86.8,85.0,86.8
Maryland,65.9,72.2,58.6,65.1,65.1,71.5,60.6,66.4,60.4,65.6,63.6,66.7,54.7,58.8,62.9,66.8,65.7,69.3
Massachusetts,61.6,67.5,63.4,68.8,65.4,72.4,64.9,71.7,64.2,69.6,66.0,70.0,69.3,76.4,66.8,71.4,67.8,74.3
Michigan,68.1,71.2,68.2,71.4,70.5,73.4,69.4,72.2,72.2,74.2,73.9,75.6,70.8,76.3,72.3,76.6,72.3,76.5
Minnesota,68.8,71.8,69.2,72.0,74.2,78.8,73.6,79.5,80.9,83.0,81.2,81.8,82.7,85.4,86.9,89.4,83.9,86.5
Mississippi,74.6,76.0,72.5,73.4,69.0,70.0,69.5,70.7,73.2,73.9,72.6,72.9,70.9,72.5,76.8,77.4,76.6,78.0
Missouri,70.9,72.1,66.9,68.7,72.2,74.1,72.0,73.5,71.8,73.4,72.4,73.6,66.2,68.7,65.0,67.0,71.3,74.7
Montana,64.3,64.8,65.2,66.0,69.7,70.2,68.8,69.5,72.3,73.0,73.2,73.8,73.1,75.1,75.2,76.3,70.7,72.2
Nebraska,62.4,66.9,60.8,64.8,65.7,68.8,66.7,70.8,66.2,68.5,72.7,73.3,70.2,72.4,67.6,68.9,69.0,70.2
Nevada,51.1,58.5,50.9,57.8,49.2,56.2,49.1,56.6,46.7,52.2,49.8,54.6,52.1,56.5,49.4,52.4,48.7,52.2
New Hampshire,66.3,68.3,65.0,66.5,67.7,69.7,63.5,66.1,64.4,66.0,64.8,66.7,62.9,65.3,59.6,62.2,64.2,66.6
New Jersey,57.5,66.3,55.6,63.9,53.7,62.7,57.0,65.0,60.1,66.7,62.5,68.9,60.9,68.4,64.1,69.3,67.2,72.6
New Mexico,59.9,64.9,50.1,54.8,66.2,70.6,55.2,59.0,60.4,64.5,59.1,63.1,59.3,64.5,60.7,63.0,67.5,69.8
New York,52.9,59.4,56.1,63.8,56.6,64.1,58.2,66.5,57.0,66.3,57.7,65.6,57.0,66.6,57.3,66.1,56.6,63.4
North Carolina,64.5,69.7,63.7,67.2,64.1,69.2,61.3,64.5,62.7,64.3,60.9,62.0,62.6,64.8,63.7,65.0,58.5,59.6
North Dakota,64.1,66.4,73.9,75.6,82.0,83.6,82.3,83.7,90.5,91.2,93.5,94.1,90.6,92.7,94.6,96.4,87.8,89.2
Ohio,64.5,66.5,64.8,66.1,69.6,71.2,63.8,65.5,63.7,64.8,64.8,65.2,62.4,66.0,66.3,68.6,63.6,66.0
Oklahoma,57.7,61.1,59.5,61.0,67.9,70.0,65.8,67.5,64.1,65.1,65.9,66.8,66.2,69.3,66.7,68.8,62.5,64.2
Oregon,65.2,70.0,67.4,70.8,68.7,71.8,65.4,70.1,66.1,71.0,73.1,77.6,66.1,70.8,77.8,79.7,79.1,83.4
Pennsylvania,61.7,64.4,62.6,64.6,63.5,64.9,61.3,63.4,61.0,62.7,59.1,60.3,59.0,61.9,61.1,63.2,61.0,63.3
Rhode Island ,59.4,63.6,62.8,68.4,66.6,73.2,61.6,67.4,65.9,71.6,65.2,69.4,62.8,71.6,62.0,69.2,67.2,71.1
South Carolina,67.0,68.9,66.7,69.0,62.1,65.2,66.5,68.0,67.7,68.3,61.0,61.7,58.0,59.5,56.8,58.4,53.9,55.0
South Dakota,64.2,64.9,67.4,69.1,77.2,78.2,74.7,75.6,68.7,69.1,75.5,75.7,74.1,77.2,78.7,79.6,76.1,77.2
Tennessee,62.1,64.1,60.1,62.8,61.9,64.1,60.4,63.4,63.9,64.4,63.8,64.4,63.9,64.8,66.0,67.4,68.2,69.3
Texas,51.4,59.1,53.2,61.6,58.6,67.2,57.3,66.2,59.0,66.3,58.5,65.7,60.4,66.6,58.6,64.8,58.4,62.6
Utah ,54.3,57.2,56.8,60.8,53.1,56.8,61.0,64.4,55.9,59.0,59.6,62.7,60.9,63.0,65.7,68.4,70.6,73.1
Vermont,65.7,67.2,72.7,74.0,70.2,71.9,69.6,70.5,71.2,72.8,71.0,71.9,74.4,77.8,75.5,77.7,72.0,76.4
Virginia,63.1,66.6,60.4,64.0,61.0,66.4,59.0,63.0,60.3,62.6,60.7,63.4,60.0,63.9,63.3,66.0,59.2,61.4
Washington,61.5,68.7,66.1,72.6,65.1,70.2,65.1,70.2,62.8,67.3,67.2,71.1,61.8,66.1,66.6,70.4,62.6,68.3
West Virginia,61.8,62.2,62.2,62.3,62.6,62.9,60.0,60.3,62.8,62.9,61.0,61.3,56.6,58.1,65.4,67.0,66.7,67.8
Wisconsin,69.0,71.0,67.8,70.0,70.2,72.4,66.6,69.0,68.7,69.6,77.3,78.1,78.0,80.2,86.2,88.0,82.1,84.1
Wyoming,54.7,56.5,58.2,59.6,65.3,66.2,64.9,65.2,65.6,66.6,69.0,69.5,62.7,64.7,63.0,64.4,66.8,68.9
