state,2014_total,2014_citizen,2010_total,2010_citizen,2006_total,2006_citizen,2002_total,2002_citizen,1998_total,1998_citizen,1994_total,1994_citizen,1990_total,1990_citizen,1986_total,1986_citizen,1982_total,1982_citizen
Alabama,40.9,42.5,42.8,44.1,48.4,49.7,48.7,49.3,51.2,51.8,45.8,46.4,51.0,52.1,53.1,54.2,49.3,50.0
Alaska,49.0,50.7,48.6,50.7,52.9,54.9,52.6,55.0,53.8,55.2,59.4,60.5,59.2,63.3,56.2,58.1,58.5,62.1
Arizona,35.7,40.6,44.9,48.8,40.2,46.4,36.8,42.4,33.8,38.2,41.9,45.7,46.2,50.4,46.2,49.1,43.1,45.6
Arkansas,36.5,38.8,39.3,40.7,43.9,45.4,45.3,46.2,42.4,42.8,41.7,42.1,46.4,48.5,47.1,47.9,53.1,54.2
California,30.8,36.6,39.2,47.1,38.4,47.5,34.2,42.5,40.5,50.4,46.0,57.5,42.4,54.3,45.3,55.1,48.6,58.6
Colorado,55.2,59.3,48.4,52.6,49.9,54.3,45.7,50.1,52.1,55.6,46.5,47.9,50.6,53.3,52.7,54.4,52.0,53.8
Connecticut,43.0,46.7,45.9,49.3,46.2,49.7,44.1,47.6,45.4,47.1,51.9,55.4,49.4,54.6,46.7,50.2,53.7,56.4
Delaware,42.0,45.2,48.5,51.0,42.6,45.6,42.9,45.3,36.5,37.7,41.4,42.3,38.4,41.5,38.0,39.2,51.2,54.8
District of Columbia,45.8,51.4,40.8,45.3,44.6,49.9,47.6,53.3,45.4,48.9,56.1,63.2,48.6,55.0,42.5,46.9,40.5,44.5
Florida,40.4,44.8,39.2,43.9,38.4,44.2,42.5,48.3,39.0,43.9,43.5,49.0,43.4,49.1,46.6,51.3,40.9,45.1
Georgia,40.0,43.2,40.2,43.6,40.3,43.9,40.0,42.3,37.4,38.6,35.7,36.5,42.3,45.2,39.4,40.7,38.6,39.5
Hawaii,38.6,41.8,39.9,43.1,40.1,43.4,41.6,45.4,48.1,53.7,46.9,52.7,51.6,57.9,53.0,58.7,54.3,59.7
Idaho,39.1,41.8,44.7,47.5,49.1,51.9,44.7,46.4,45.0,47.5,50.7,51.6,48.2,50.7,64.9,67.4,57.4,59.0
Illinois,38.3,41.7,41.5,45.5,42.2,47.3,42.9,46.8,44.5,48.2,43.0,46.2,48.3,53.1,47.3,50.6,55.0,58.3
Indiana,33.5,35.1,38.2,39.4,44.3,45.5,39.9,40.4,40.0,40.6,38.7,39.0,44.2,46.7,49.3,50.5,54.9,56.4
Iowa,51.5,52.9,50.2,52.3,52.4,54.6,48.9,50.9,51.6,52.5,52.5,53.4,50.5,51.8,48.1,49.7,56.4,58.7
Kansas,45.3,48.3,45.2,47.2,44.3,46.5,46.3,48.7,40.1,41.6,50.7,51.8,52.4,54.2,53.5,54.8,54.3,56.0
Kentucky,45.9,47.5,45.5,46.8,48.0,49.4,45.4,45.8,44.4,45.1,34.6,35.0,39.0,40.4,34.3,35.0,35.7,36.9
Louisiana,48.6,50.2,48.8,50.0,39.1,40.0,49.4,50.3,38.3,38.8,34.2,34.7,51.4,53.7,56.7,59.2,25.7,26.3
Maine,60.5,61.5,58.4,59.4,57.5,58.1,57.0,57.8,47.9,48.3,58.3,59.7,64.7,66.8,54.6,55.7,62.6,64.0
Maryland,44.7,48.9,42.1,46.8,51.4,56.4,46.6,51.0,47.3,51.3,46.9,49.3,39.4,42.4,43.1,45.8,47.3,49.9
Massachusetts,42.8,46.9,48.1,52.2,50.0,55.4,47.5,52.5,46.2,50.2,51.9,55.0,58.8,64.7,48.4,51.8,53.7,58.8
Michigan,45.1,47.1,45.2,47.3,54.8,57.1,48.3,50.3,49.7,51.1,52.3,53.5,45.4,48.9,44.5,47.2,54.0,57.1
Minnesota,49.9,52.0,52.8,54.9,61.6,65.4,64.1,67.4,64.2,65.9,58.5,58.9,62.9,64.9,59.3,61.0,66.8,68.9
Mississippi,41.6,42.3,46.5,47.1,42.2,42.8,42.5,43.1,40.2,40.2,44.3,44.5,34.7,35.5,43.7,44.0,51.9,52.9
Missouri,38.0,38.7,44.5,45.7,52.6,54.0,51.5,52.6,45.8,46.8,54.6,55.5,40.9,42.5,46.7,48.1,51.2,53.6
Montana,49.7,50.1,51.3,51.9,59.2,59.6,53.4,53.9,53.3,53.9,60.7,61.2,62.7,64.5,65.1,66.1,61.3,62.6
Nebraska,41.4,44.3,38.7,41.3,48.9,51.2,43.4,46.1,45.3,46.8,54.4,54.8,57.8,59.7,54.5,55.5,56.0,57.0
Nevada,32.6,37.3,37.3,42.4,37.3,42.6,37.0,42.7,33.1,37.0,40.4,44.4,42.5,46.1,42.5,45.1,41.6,44.5
New Hampshire,48.6,50.2,45.9,46.9,47.0,48.4,48.9,51.0,40.9,41.9,41.7,42.9,44.3,45.9,37.6,39.2,49.5,51.4
New Jersey,31.5,36.4,36.2,41.7,37.1,43.3,37.5,42.8,35.5,35.5,41.0,45.2,41.8,46.9,37.3,40.3,48.6,52.6
New Mexico,42.1,45.6,38.9,42.5,50.9,54.3,41.5,44.4,48.2,51.5,47.0,50.2,45.6,49.6,47.1,48.9,58.1,60.0
