state,2012_total,2012_citizen,2008_total,2008_citizen,2004_total,2004_citizen,2000_total,2000_citizen,1996_total,1996_citizen,1992_total,1992_citizen,1988_total,1988_citizen,1984_total,1984_citizen,1980_total,1980_citizen
Alabama,71.1,73.5,69.7,71.6,72.6,74.2,73.6,74.6,73.8,74.9,77.1,78.0,73.3,74.2,75.6,77.5,70.2,71.3
Alaska,69.9,72.8,70.8,73.7,74.0,77.0,72.5,74.9,75.5,76.8,75.1,81.0,70.0,75.4,70.4,75.6,66.6,73.4
Arizona,57.8,65.2,61.3,68.9,60.3,70.8,53.3,60.1,58.5,67.2,70.5,75.9,62.5,66.9,63.0,67.7,58.7,63.4
Arkansas,62.6,65.3,62.5,64.9,66.1,68.4,59.4,60.8,64.4,64.9,66.5,69.4,67.4,69.1,70.4,71.4,66.4,68.1
California,54.2,65.6,55.1,68.2,55.4,68.6,52.8,65.8,56.1,70.9,57.6,76.5,59.1,74.1,61.5,75.1,60.0,72.4
Colorado,69.0,74.4,66.0,72.2,67.9,74.2,64.1,68.5,70.0,72.7,74.7,78.9,73.0,77.2,66.9,71.2,69.5,73.4
Connecticut,64.6,70.4,66.4,73.5,65.0,70.3,62.5,67.5,69.9,74.5,76.8,84.4,73.5,79.6,72.1,77.0,72.9,78.5
Delaware,67.8,73.3,69.1,73.8,67.7,71.6,67.9,70.8,64.0,65.7,70.7,76.1,64.0,67.0,63.5,69.9,65.8,68.6
District of Columbia,74.4,83.4,69.0,78.3,67.4,75.2,72.4,79.2,73.0,77.8,73.9,81.2,64.7,71.1,60.4,70.7,56.9,62.3
Florida,60.5,68.3,62.4,70.4,62.6,71.7,60.5,69.9,61.8,68.8,62.7,71.4,63.0,70.3,62.6,69.5,63.1,69.6
Georgia,66.4,70.7,65.9,71.0,62.3,67.3,61.1,63.5,66.1,67.8,62.0,65.6,61.4,63.9,63.1,67.1,65.6,67.4
Hawaii,54.1,58.9,53.5,59.1,53.0,58.4,47.0,52.2,55.1,60.7,60.6,67.9,61.0,67.2,59.2,66.8,61.9,70.4
Idaho,65.9,70.0,66.0,68.9,66.5,69.9,61.4,63.9,68.4,70.5,71.8,76.0,69.6,73.2,73.9,78.0,73.5,78.5
Illinois,66.6,72.7,64.6,70.9,69.2,74.5,66.7,72.8,67.7,72.0,72.1,80.0,69.3,75.2,74.7,82.2,72.8,79.0
Indiana,67.4,69.2,66.3,68.1,66.8,68.3,68.5,69.7,68.5,69.3,68.0,69.5,68.4,70.8,69.7,71.6,69.3,71.9
Iowa,75.2,78.2,72.6,76.3,75.7,78.4,72.2,75.9,73.0,75.3,77.9,80.2,71.9,73.4,75.7,77.4,75.7,78.2
Kansas,69.2,74.4,65.9,69.7,67.2,72.3,67.7,69.5,68.9,70.5,77.1,79.2,67.6,70.0,69.9,73.1,69.5,72.0
Kentucky,70.0,72.1,71.1,73.0,73.3,75.1,69.7,71.5,69.4,69.7,64.9,69.2,62.2,63.7,70.0,71.8,66.3,67.9
Louisiana,75.2,77.1,75.7,78.3,73.6,75.0,75.4,76.6,73.4,74.5,77.0,79.7,75.1,77.4,73.2,77.1,72.7,75.2
Maine,75.5,77.1,78.5,79.7,80.6,81.8,80.3,81.4,81.5,83.6,85.4,88.3,80.7,82.9,83.5,87.5,81.3,85.5
Maryland,64.9,72.1,67.0,73.9,66.2,72.7,65.6,70.1,65.9,69.2,71.7,77.5,64.1,69.7,68.3,73.7,66.4,70.9
Massachusetts,72.7,78.7,66.4,72.6,72.0,77.5,70.3,76.4,66.7,71.9,72.5,81.3,71.1,76.3,69.6,76.9,72.5,78.9
Michigan,75.0,77.8,73.9,77.1,72.0,74.7,69.1,71.7,72.0,74.2,74.6,80.4,72.3,78.8,73.8,78.8,73.0,79.1
Minnesota,76.1,79.0,75.2,79.7,81.8,84.5,76.7,78.9,78.3,80.7,86.1,90.9,77.6,82.8,85.8,88.5,83.7,87.2
Mississippi,82.8,84.2,75.3,77.0,72.5,73.7,72.2,73.2,71.6,72.1,79.3,80.9,78.2,80.0,82.6,84.9,81.1,82.5
Missouri,74.8,76.7,72.8,74.5,78.6,81.2,74.3,75.8,75.5,76.2,74.2,76.5,74.8,76.8,74.9,77.4,75.4,78.5
