state,2012_total,2012_citizen,2008_total,2008_citizen,2004_total,2004_citizen,2000_total,2000_citizen,1996_total,1996_citizen,1992_total,1992_citizen,1988_total,1988_citizen,1984_total,1984_citizen,1980_total,1980_citizen
Alabama,59.9,61.9,60.8,62.4,61.8,63.2,59.6,60.4,55.6,56.3,63.6,64.4,56.9,57.6,60.8,62.3,56.4,57.3
Alaska,56.0,58.4,62.4,65.0,65.0,67.6,65.5,67.7,59.5,60.5,68.6,74.0,59.4,63.9,59.1,63.4,56.8,62.7
Arizona,49.6,55.9,53.3,59.9,54.3,63.8,46.7,52.5,47.3,54.3,64.7,69.7,54.0,57.8,54.0,58.1,53.5,57.8
Arkansas,51.1,53.3,51.8,53.8,56.7,58.7,49.4,50.6,51.5,51.9,58.0,60.5,55.8,57.2,60.4,61.2,57.2,58.6
California,47.5,57.5,51.2,63.4,49.1,61.9,46.4,57.9,48.4,61.3,52.8,70.1,51.7,64.8,55.7,68.0,53.8,64.9
Colorado,65.4,70.4,62.5,68.4,61.7,67.5,53.6,57.2,58.8,61.1,68.8,72.7,65.4,69.2,60.5,64.4,63.4,67.0
Connecticut,57.5,62.7,60.8,67.2,58.5,63.2,55.2,59.5,58.5,62.3,71.7,78.8,63.9,69.2,64.2,68.6,67.6,72.9
Delaware,62.2,67.3,63.0,67.3,62.8,66.4,62.2,64.8,54.7,56.1,66.1,71.1,58.7,61.4,59.0,64.9,60.4,62.9
District of Columbia,67.7,75.9,65.3,74.1,62.0,69.2,65.6,71.7,59.6,63.5,66.1,72.5,52.7,57.9,54.0,63.2,48.9,53.5
Florida,53.9,60.8,56.5,63.8,56.1,64.3,51.6,59.6,50.7,56.4,55.8,63.5,54.5,60.8,53.3,59.2,55.5,61.2
Georgia,58.1,61.9,59.6,64.2,52.6,56.8,49.0,50.9,49.6,50.9,54.1,57.3,49.6,51.7,52.4,55.7,53.5,55.0
Hawaii,47.4,51.6,46.8,51.8,46.2,50.8,39.7,44.1,43.1,47.4,55.2,61.9,54.8,60.3,54.5,61.5,55.9,63.5
Idaho,60.2,63.9,58.8,61.4,58.7,61.6,53.9,56.1,60.1,62.0,66.9,70.8,63.9,67.1,67.5,71.2,70.1,74.9
Illinois,56.2,61.5,57.1,62.6,61.0,65.6,56.8,62.0,55.6,59.1,65.1,72.3,60.7,65.8,66.9,73.6,66.4,72.0
Indiana,57.7,59.3,58.8,60.5,57.3,58.6,58.5,59.6,55.8,56.5,63.0,64.4,60.4,62.6,62.4,64.1,61.6,63.9
Iowa,66.7,69.4,66.9,70.2,68.8,71.3,64.1,67.4,61.1,63.0,70.8,72.8,63.6,64.9,68.6,70.1,67.7,69.9
Kansas,58.9,63.3,59.8,63.3,59.7,64.2,60.2,61.7,62.0,63.4,71.9,73.8,60.6,62.8,63.3,66.2,63.6,65.8
Kentucky,57.6,59.3,61.4,63.1,63.4,65.0,54.9,56.4,52.8,53.0,57.6,61.4,49.7,50.9,59.0,60.6,56.9,58.3
Louisiana,64.7,66.3,68.0,70.3,63.1,64.2,64.6,65.7,61.8,62.7,68.6,71.0,65.2,67.2,64.9,68.3,63.9,66.1
Maine,67.2,68.6,70.2,71.2,72.0,73.1,69.2,70.1,67.7,69.4,74.1,76.7,66.7,68.5,68.7,71.9,68.2,71.8
Maryland,58.7,65.1,61.9,68.3,59.7,65.6,57.1,61.1,54.4,57.2,66.4,71.7,54.8,59.7,60.0,64.7,58.6,62.6
Massachusetts,65.4,70.8,61.3,67.1,63.7,68.6,60.1,65.3,56.3,60.8,65.8,73.8,63.6,68.3,60.9,67.3,65.6,71.4
Michigan,64.5,66.8,65.0,67.8,64.7,67.1,60.1,62.4,58.1,59.9,65.9,71.1,59.5,64.8,62.3,66.6,64.1,69.5
Minnesota,70.5,73.2,70.8,75.0,76.7,79.2,67.8,69.8,66.9,68.9,74.2,78.3,69.7,74.4,75.6,78.0,73.3,76.3
Mississippi,73.3,74.5,68.2,69.7,60.7,61.7,59.8,60.6,55.1,55.5,66.7,68.0,62.7,64.1,69.3,70.2,67.3,68.5
