year,state,voter_pct_of_total,voter_pct_of_citizen,reg_pct_of_total,reg_pct_of_citizen
1980,AK,0.568,0.627,0.6659999999999999,0.7340000000000001
1980,AL,0.564,0.573,0.7020000000000001,0.713
1980,AR,0.5720000000000001,0.586,0.664,0.6809999999999999
1980,AZ,0.535,0.578,0.5870000000000001,0.634
1980,CA,0.5379999999999999,0.649,0.6,0.7240000000000001
1980,CO,0.634,0.67,0.695,0.7340000000000001
1980,CT,0.6759999999999999,0.7290000000000001,0.7290000000000001,0.785
1980,DC,0.489,0.535,0.569,0.623
1980,DE,0.604,0.629,0.6579999999999999,0.6859999999999999
1980,FL,0.555,0.612,0.631,0.696
1980,GA,0.535,0.55,0.6559999999999999,0.674
1980,HI,0.5589999999999999,0.635,0.619,0.7040000000000001
1980,IA,0.677,0.6990000000000001,0.757,0.782
1980,ID,0.701,0.7490000000000001,0.735,0.785
1980,IL,0.664,0.72,0.728,0.79
1980,IN,0.616,0.639,0.693,0.7190000000000001
1980,KS,0.636,0.6579999999999999,0.695,0.72
1980,KY,0.569,0.583,0.6629999999999999,0.679
1980,LA,0.639,0.6609999999999999,0.727,0.752
1980,MA,0.6559999999999999,0.7140000000000001,0.725,0.789
1980,MD,0.586,0.626,0.664,0.7090000000000001
1980,ME,0.682,0.718,0.813,0.855
1980,MI,0.6409999999999999,0.695,0.73,0.7909999999999999
1980,MN,0.733,0.763,0.8370000000000001,0.872
1980,MO,0.6729999999999999,0.7,0.754,0.785
1980,MS,0.6729999999999999,0.685,0.8109999999999999,0.825
1980,MT,0.6759999999999999,0.71,0.74,0.778
1980,NC,0.522,0.5429999999999999,0.606,0.63
1980,ND,0.7190000000000001,0.741,0.919,0.9470000000000001
1980,NE,0.633,0.6609999999999999,0.716,0.748
1980,NH,0.682,0.705,0.741,0.767
1980,NJ,0.596,0.657,0.6679999999999999,0.736
1980,NM,0.588,0.619,0.669,0.705
1980,NV,0.493,0.5479999999999999,0.5379999999999999,0.598
1980,NY,0.5479999999999999,0.625,0.595,0.679
1980,OH,0.607,0.638,0.664,0.6990000000000001
1980,OK,0.594,0.629,0.662,0.701
1980,OR,0.659,0.7190000000000001,0.725,0.7909999999999999
1980,PA,0.5489999999999999,0.579,0.62,0.653
1980,RI,0.647,0.711,0.73,0.802
1980,SC,0.514,0.526,0.5820000000000001,0.596
1980,SD,0.745,0.77,0.807,0.8340000000000001
1980,TN,0.5670000000000001,0.5820000000000001,0.672,0.69
1980,TX,0.511,0.5589999999999999,0.604,0.66
1980,UT,0.722,0.745,0.768,0.7929999999999999
1980,VA,0.552,0.5760000000000001,0.622,0.65
1980,VT,0.613,0.639,0.735,0.7659999999999999
1980,WA,0.612,0.68,0.667,0.741
1980,WI,0.745,0.773,0.871,0.903
1980,WV,0.584,0.599,0.693,0.711
1980,WY,0.594,0.621,0.638,0.667
1982,AK,0.585,0.621,0.687,0.728
1982,AL,0.493,0.5,0.6709999999999999,0.6809999999999999
1982,AR,0.531,0.542,0.647,0.6609999999999999
1982,AZ,0.431,0.456,0.5379999999999999,0.569
1982,CA,0.486,0.586,0.5760000000000001,0.695
1982,CO,0.52,0.5379999999999999,0.628,0.65
1982,CT,0.537,0.564,0.69,0.725
1982,DC,0.405,0.445,0.5479999999999999,0.601
1982,DE,0.512,0.5479999999999999,0.619,0.6629999999999999
1982,FL,0.409,0.451,0.589,0.649
1982,GA,0.386,0.395,0.5760000000000001,0.589
1982,HI,0.5429999999999999,0.597,0.606,0.667
1982,IA,0.564,0.5870000000000001,0.6829999999999999,0.71
1982,ID,0.574,0.59,0.6579999999999999,0.6759999999999999
1982,IL,0.55,0.583,0.7,0.742
1982,IN,0.5489999999999999,0.564,0.691,0.7090000000000001
